,證券代號,證券名稱
760,3536,誠創
761,3543,州巧
762,3545,敦泰
763,3550,聯穎
764,3557,嘉威
765,3563,牧德
766,3576,聯合再生
767,3583,辛耘
768,3588,通嘉
769,3591,艾笛森
770,3593,力銘
771,3596,智易
772,3605,宏致
773,3607,谷崧
774,3617,碩天
775,3622,洋華
776,3645,達邁
777,3653,健策
778,3661,世芯-KY
779,3665,貿聯-KY
780,3669,圓展
781,3673,TPK-KY
782,3679,新至陞
783,3682,亞太電
784,3686,達能
785,3694,海華
786,3698,隆達
787,3701,大眾控
788,3702,大聯大
789,3702A,大聯大甲特
790,3703,欣陸
791,3704,合勤控
792,3705,永信
793,3706,神達
794,3708,上緯投控
795,3711,日月光投控
796,3712,永崴投控
797,4104,佳醫
798,4106,雃博
799,4108,懷特
800,4119,旭富
801,4133,亞諾法
802,4137,麗豐-KY
803,4141,龍燈-KY
804,4142,國光生
805,4144,康聯-KY
806,4148,全宇生技-KY
807,4155,訊映
808,4164,承業醫
809,4190,佐登-KY
810,4306,炎洲
811,4414,如興
812,4426,利勤
813,4438,廣越
814,4439,冠星-KY
815,4526,東台
816,4532,瑞智
817,4536,拓凱
818,4540,全球傳動
819,4545,銘鈺
820,4551,智伸科
821,4552,力達-KY
822,4555,氣立
823,4557,永新-KY
824,4560,強信-KY
825,4562,穎漢
826,4564,元翎
827,4566,時碩工業
828,4571,鈞興-KY
829,4572,駐龍
830,4576,大銀微系統
831,4581,光隆精密-KY
832,4720,德淵
833,4722,國精化
834,4725,信昌化
835,4737,華廣
836,4739,康普
837,4746,台耀
838,4755,三福化
839,4763,材料-KY
840,4764,雙鍵
841,4766,南寶
842,4807,日成-KY
843,4904,遠傳
844,4906,正文
845,4912,聯德控股-KY
846,4915,致伸
847,4916,事欣科
848,4919,新唐
849,4927,泰鼎-KY
850,4930,燦星網
851,4934,太極
852,4935,茂林-KY
853,4938,和碩
854,4942,嘉彰
855,4943,康控-KY
856,4952,凌通
857,4956,光鋐
858,4958,臻鼎-KY
859,4960,誠美材
860,4961,天鈺
861,4967,十銓
862,4968,立積
863,4976,佳凌
864,4977,眾達-KY
865,4989,榮科
866,4994,傳奇
867,4999,鑫禾
868,5007,三星
869,5203,訊連
870,5215,科嘉-KY
871,5225,東科-KY
872,5234,達興材料
873,5243,乙盛-KY
874,5258,虹堡
875,5264,鎧勝-KY
876,5269,祥碩
877,5283,禾聯碩
878,5284,jpp-KY
879,5285,界霖
880,5288,豐祥-KY
881,5305,敦南
882,5388,中磊
883,5434,崇越
884,5469,瀚宇博
885,5471,松翰
886,5484,慧友
887,5515,建國
888,5519,隆大
889,5521,工信
890,5522,遠雄
891,5525,順天
892,5531,鄉林
893,5533,皇鼎
